Quantity,Item Code,Description,Price Each,Amount
10,04SW09B,"SWEDE MATJES FILL RED PAIL 2.2KG PC",14.00,140.00
40,04SW12F,"SWEDE.SALT HERR 2.2KG BLUE PAIL PC",13.65,546.00
4,04SW15B,"KLAD. MATJES HERR. TIDBITS 6/20 OZ JAR CS",30.10,120.40
100,04SW39,"ROY.SWED.RED LUMP.CAV.4X10/3.5 PC",3.95,395.00
4,04CA20,"HERR.SALAD WHITE SC. 6/400 GR CS",25.00,100.00
4,04CA22,"HERRING SALAD W/BEETS 6/400 GR CS",24.00,96.00
4,04CA24,"HERR.SAL.MUSTARD/DILL 6/400 GR CS",24.00,96.00
10,04GE01,"Norden Bismarck Herring 12/18oz CS 7 91434 04001 3",53.30,533.00
10,04GE02,"Norden Rollmops Herring 12/18oz CS 7 91434 04002 0",53.30,533.00
2,04SW15,"NORD.SW.STYL.HERR.CREAM 12/12 CT 7 91434 04015 0",35.40,70.80
3,04SW16,"NORD.SW.STYLE HERR.WINE 12/12 CT 7 91434 04016 7",35.40,106.20
150.83,01GE10,"BAUER German Tilsit Loaf 3/5 lbs, LB",8.20,1236.81
51.5,01DE19,"DANISH TILSIT HAVARTI 2/10 LBS LB 2-814427-045753",11.90,612.85
18.67,01GE08,"BAVARIA EMMENTALER2/9LBS LB 0-21282-00188-5",7.10,132.56
1,02GE25A,"SPONGE CAKE REGULAR 12/6.8 OZ CS 0-79344-00128-8",34.00,34.00
5,02GE40,"SCHLUND.MARZIPAN CAKE 6/14 OZ CS 0-79344-00722-8",21.50,107.50
4,12GE11A,"SUG.BEET SYRUP SQ.BTL 12/500 G DZ",64.60,258.40
2,02GE42,"SCHLUNDER CHOCOLATE CAKE 6/14 CS 0-79344-00720-4",23.25,46.50
2,03LA01,"Latvian Smoked Sprats 24/8.46OZ - CS",56.20,112.40
2,05GE81,"KUECHLE BAKING WAFERS 10/70MM CT The 70mm is with 63 x 102",26.25,52.50
1,06SZ23,"MAG.CHICK.CUBES #5501 24/2.43 CT 0-28000-24795-9",21.50,21.50
4,02GE05,"WETZEL OBLATEN 12/3.5oz CT",56.00,224.00
